OBJID,INADDR,INZONE,MatchAddress,Zone,Score,XCoord,YCoord,Geocoder
51,447 N 200 E, 84501,447 N 200 E, PRICE,100.0,516524.659896,4384035.70885,Centerlines.StatewideRoads
52,179 N 300 E, 84501,179 N 300 E, PRICE,100.0,516681.233689,4383624.85374,AddressPoints.AddressGrid
53,179 N 300 E, 84501,179 N 300 E, PRICE,100.0,516681.233689,4383624.85374,AddressPoints.AddressGrid
54,350 N 400 E, 84501,350 N 400 E, PRICE,100.0,516880.203214,4383952.38795,Centerlines.StatewideRoads
55,350 N 400 E, 84501,350 N 400 E, PRICE,100.0,516880.203214,4383952.38795,Centerlines.StatewideRoads
56,250 N FAIRGROUNDS RD, 84501,250 N FAIRGROUNDS RD, PRICE,100.0,514215.547492,4383884.86421,Centerlines.StatewideRoads
57,250 N FAIRGROUNDS RD, 84501,250 N FAIRGROUNDS RD, PRICE,100.0,514215.547492,4383884.86421,Centerlines.StatewideRoads
58,250 N FAIRGROUNDS RD, 84501,250 N FAIRGROUNDS RD, PRICE,100.0,514215.547492,4383884.86421,Centerlines.StatewideRoads
59,1 N 200 E, 84501,1 N 200 E, PRICE,100.0,516528.683988,4383338.65186,Centerlines.StatewideRoads
60,99 N 200 E, 84501,99 N 200 E, PRICE,100.0,516528.413715,4383484.18439,Centerlines.StatewideRoads
61,51 N 200 E, 84501,51 N 200 E, PRICE,100.0,516528.546093,4383412.90315,Centerlines.StatewideRoads
62,101 N 200 E, 84501,101 N 200 E, PRICE,100.0,516528.285011,4383500.04542,Centerlines.StatewideRoads
63,199 N 200 E, 84501,199 N 200 E, PRICE,100.0,516526.210823,4383643.41577,Centerlines.StatewideRoads
64,151 N 200 E, 84501,151 N 200 E, PRICE,100.0,516527.226752,4383573.19356,Centerlines.StatewideRoads
65,201 N 200 E, 84501,201 N 200 E, PRICE,100.0,516526.029384,4383661.57097,Centerlines.StatewideRoads
66,313 N 200 E, 84501,313 N 200 E, PRICE,100.0,516517.654662,4383835.36783,AddressPoints.AddressGrid
67,257 N 200 E, 84501,257 N 200 E, PRICE,100.0,516525.455095,4383750.6104,Centerlines.StatewideRoads
68,315 N 200 E, 84501,315 N 200 E, PRICE,100.0,516524.860296,4383842.82981,Centerlines.StatewideRoads
69,399 N 200 E, 84501,399 N 200 E, PRICE,100.0,516524.988302,4383972.17706,Centerlines.StatewideRoads
70,357 N 200 E, 84501,357 N 200 E, PRICE,100.0,516525.275658,4383916.58675,Centerlines.StatewideRoads
71,401 N 200 E, 84501,401 N 200 E, PRICE,100.0,516524.974619,4383974.82422,Centerlines.StatewideRoads
72,461 N 200 E, 84501,461 N 200 E, PRICE,100.0,516524.56411,4384054.23895,Centerlines.StatewideRoads
73,431 N 200 E, 84501,431 N 200 E, PRICE,100.0,516524.769365,4384014.53159,Centerlines.StatewideRoads
74,463 N 200 E, 84501,463 N 200 E, PRICE,100.0,516524.550427,4384056.88611,Centerlines.StatewideRoads
